driver_standings_id,race_id,driver_id,points,position,position_text,wins
81,22,18,3.0,12,12,0
82,22,12,0.0,18,18,0
83,22,21,0.0,16,16,0
84,22,22,0.0,17,17,0
85,22,19,0.0,20,20,0
86,22,11,0.0,19,19,0
87,22,13,28.0,2,2,2
88,22,10,0.0,15,15,0
89,22,16,0.0,21,21,0
90,22,20,0.0,22,22,0
91,23,1,38.0,1,1,2
92,23,2,20.0,5,5,0
93,23,3,8.0,10,10,0
94,23,4,9.0,8,8,0
95,23,5,15.0,6,6,0
96,23,6,7.0,11,11,0
97,23,7,2.0,15,15,0
98,23,8,35.0,2,2,2
99,23,9,32.0,4,4,0
100,23,15,9.0,9,9,0
101,23,17,15.0,7,7,0
102,23,14,0.0,16,16,0
103,23,18,3.0,13,13,0
104,23,12,0.0,19,19,0
105,23,21,0.0,18,18,0
106,23,22,3.0,14,14,0
107,23,19,0.0,21,21,0
108,23,11,0.0,20,20,0
109,23,13,34.0,3,3,2
110,23,10,0.0,17,17,0
111,23,16,0.0,22,22,0
112,23,20,4.0,12,12,0
113,24,1,38.0,2,2,2
114,24,2,28.0,5,5,0
115,24,3,8.0,10,10,0
116,24,4,9.0,9,9,0
117,24,5,15.0,6,6,0
118,24,6,7.0,11,11,0
119,24,7,2.0,17,17,0
120,24,8,35.0,4,4,2
121,24,9,42.0,1,1,1
122,24,15,12.0,8,8,0
123,24,17,15.0,7,7,0
124,24,14,6.0,12,12,0
125,24,18,3.0,16,16,0
126,24,12,0.0,19,19,0
127,24,21,0.0,18,18,0
128,24,22,5.0,15,15,0
129,24,19,0.0,21,21,0
130,24,11,0.0,20,20,0
131,24,13,38.0,3,3,2
132,24,10,5.0,13,13,0
133,24,16,0.0,22,22,0
134,24,20,5.0,14,14,0
135,25,1,38.0,4,4,2
136,25,2,28.0,5,5,0
137,25,3,8.0,10,10,0
138,25,4,10.0,9,9,0
139,25,5,20.0,6,6,0
140,25,6,7.0,11,11,0
141,25,7,2.0,18,18,0
142,25,8,43.0,3,3,2
143,25,9,46.0,2,2,1
144,25,15,18.0,7,7,0
145,25,17,18.0,8,8,0
146,25,14,6.0,12,12,0
147,25,18,3.0,16,16,0
148,25,12,2.0,17,17,0
149,25,21,0.0,19,19,0
150,25,22,5.0,15,15,0
151,25,19,0.0,21,21,0
152,25,11,0.0,20,20,0
153,25,13,48.0,1,1,3
154,25,10,5.0,13,13,0
155,25,16,0.0,22,22,0
156,25,20,5.0,14,14,0
157,26,1,48.0,1,1,3
158,26,2,36.0,5,5,0
159,26,3,8.0,11,11,0
160,26,4,13.0,9,9,0
161,26,5,24.0,6,6,0
162,26,6,8.0,12,12,0
163,26,7,2.0,17,17,0
164,26,8,48.0,3,3,2
165,26,9,46.0,4,4,1
166,26,15,20.0,7,7,0
167,26,17,18.0,8,8,0
168,26,14,6.0,13,13,0
169,26,18,3.0,16,16,0
170,26,12,2.0,18,18,0
171,26,21,0.0,19,19,0
172,26,22,11.0,10,10,0
173,26,19,0.0,21,21,0
174,26,11,0.0,20,20,0
175,26,13,48.0,2,2,3
176,26,10,5.0,14,14,0
177,26,16,0.0,22,22,0
178,26,20,5.0,15,15,0
179,27,1,58.0,1,1,4
180,27,2,41.0,5,5,0
181,27,3,8.0,12,12,0
182,27,4,13.0,9,9,0
183,27,5,28.0,6,6,0
184,27,6,8.0,13,13,0
185,27,7,2.0,18,18,0
186,27,8,51.0,3,3,2
187,27,9,48.0,4,4,1
188,27,15,20.0,7,7,0
189,27,17,18.0,8,8,0
190,27,14,6.0,14,14,0
191,27,18,3.0,17,17,0
192,27,12,10.0,11,11,0
193,27,21,0.0,19,19,0
194,27,22,11.0,10,10,0
195,27,19,0.0,22,22,0
196,27,11,0.0,20,20,0
197,27,13,54.0,2,2,3
198,27,10,5.0,16,16,0
199,27,16,0.0,21,21,0
200,27,20,6.0,15,15,0
201,28,1,62.0,1,1,4
202,28,2,41.0,5,5,0
203,28,3,8.0,13,13,0
204,28,4,18.0,8,8,0
205,28,5,38.0,6,6,1
206,28,6,8.0,14,14,0
207,28,7,2.0,18,18,0
208,28,8,57.0,2,2,2
209,28,9,49.0,4,4,1
210,28,15,22.0,7,7,0
211,28,17,18.0,9,9,0
212,28,14,6.0,15,15,0
213,28,18,3.0,17,17,0
214,28,12,13.0,11,11,0
215,28,21,0.0,19,19,0
216,28,22,11.0,12,12,0
217,28,19,0.0,22,22,0
218,28,11,0.0,20,20,0
219,28,13,54.0,3,3,3
220,28,10,13.0,10,10,0
221,28,16,0.0,21,21,0
222,28,20,6.0,16,16,0
223,29,1,70.0,1,1,4
224,29,2,41.0,6,6,0
225,29,3,9.0,13,13,0
226,29,4,18.0,8,8,0
227,29,5,43.0,5,5,1
228,29,6,8.0,15,15,0
229,29,7,2.0,18,18,0
230,29,8,57.0,3,3,2
231,29,9,55.0,4,4,1
232,29,15,26.0,7,7,0
233,29,17,18.0,9,9,0
234,29,14,6.0,16,16,0
235,29,18,3.0,17,17,0
236,29,12,13.0,11,11,0
237,29,21,0.0,19,19,0
238,29,22,11.0,12,12,0
239,29,19,0.0,22,22,0
240,29,11,0.0,20,20,0
241,29,13,64.0,2,2,4
242,29,10,15.0,10,10,0
243,29,16,0.0,21,21,0
244,29,20,9.0,14,14,0
245,30,1,76.0,1,1,4
246,30,2,49.0,5,5,0
247,30,3,9.0,14,14,0
248,30,4,23.0,8,8,0
249,30,5,43.0,6,6,1
250,30,6,8.0,15,15,0
251,30,7,4.0,17,17,0
252,30,8,57.0,4,4,2
253,30,9,58.0,3,3,1
254,30,15,26.0,7,7,0
255,30,17,19.0,9,9,0
256,30,14,6.0,16,16,0
257,30,18,3.0,18,18,0
258,30,12,13.0,11,11,0
259,30,21,0.0,19,19,0
260,30,22,11.0,13,13,0
261,30,19,0.0,22,22,0
262,30,11,0.0,21,21,0
263,30,13,74.0,2,2,5
264,30,10,15.0,10,10,0
265,30,16,0.0,20,20,0
266,30,20,13.0,12,12,0
267,31,1,78.0,1,1,4
268,31,2,53.0,5,5,0
269,31,3,9.0,14,14,0
270,31,4,28.0,7,7,0
271,31,5,51.0,6,6,1
272,31,6,8.0,15,15,0
273,31,7,4.0,17,17,0
274,31,8,57.0,4,4,2
275,31,9,64.0,3,3,1
276,31,15,26.0,8,8,0
277,31,17,20.0,10,10,0
278,31,14,6.0,16,16,0
279,31,18,3.0,18,18,0
280,31,12,13.0,12,12,0
281,31,21,0.0,19,19,0
282,31,22,11.0,13,13,0
283,31,19,0.0,22,22,0
284,31,11,0.0,21,21,0
285,31,13,77.0,2,2,5
286,31,10,15.0,11,11,0
287,31,16,0.0,20,20,0
288,31,20,23.0,9,9,1
289,32,1,84.0,1,1,4
290,32,2,56.0,5,5,0
291,32,3,17.0,12,12,0
292,32,4,38.0,7,7,1
293,32,5,51.0,6,6,1
294,32,6,9.0,15,15,0
295,32,7,4.0,17,17,0
296,32,8,57.0,4,4,2
297,32,9,64.0,3,3,1
298,32,15,26.0,9,9,0
299,32,17,20.0,11,11,0
300,32,14,8.0,16,16,0
301,32,18,3.0,18,18,0
302,32,12,13.0,13,13,0
303,32,21,0.0,19,19,0
304,32,22,11.0,14,14,0
305,32,19,0.0,22,22,0
306,32,11,0.0,21,21,0
307,32,13,77.0,2,2,5
308,32,10,20.0,10,10,0
309,32,16,0.0,20,20,0
310,32,20,27.0,8,8,1
311,33,1,84.0,1,1,4
312,33,2,56.0,5,5,0
313,33,3,17.0,13,13,0
314,33,4,48.0,7,7,2
315,33,5,51.0,6,6,1
316,33,6,9.0,15,15,0
317,33,7,4.0,17,17,0
318,33,8,63.0,4,4,2
319,33,9,72.0,3,3,1
320,33,15,30.0,9,9,0
321,33,17,21.0,10,10,0
322,33,14,8.0,16,16,0
323,33,18,3.0,18,18,0
324,33,12,18.0,12,12,0
325,33,21,0.0,19,19,0
326,33,22,11.0,14,14,0
327,33,19,0.0,22,22,0
328,33,11,0.0,21,21,0
329,33,13,79.0,2,2,5
330,33,10,20.0,11,11,0
331,33,16,0.0,20,20,0
332,33,20,30.0,8,8,1
3459,34,20,30.0,8,8,1
3458,34,16,0.0,20,20,0
3457,34,10,22.0,10,10,0
3456,34,13,87.0,2,2,5
3455,34,11,0.0,21,21,0
3454,34,19,0.0,22,22,0
3453,34,22,11.0,14,14,0
3452,34,21,0.0,19,19,0
3451,34,12,19.0,12,12,0
3450,34,18,3.0,18,18,0
3449,34,14,8.0,16,16,0
3448,34,17,21.0,11,11,0
3447,34,15,30.0,9,9,0
3446,34,9,75.0,3,3,1
3445,34,8,69.0,4,4,2
3444,34,7,4.0,17,17,0
3443,34,6,9.0,15,15,0
3442,34,5,51.0,7,7,1
3441,34,4,53.0,6,6,2
3440,34,3,17.0,13,13,0
3439,34,2,60.0,5,5,0
3438,34,1,94.0,1,1,5
355,35,1,98.0,1,1,5
356,35,2,60.0,6,6,0
357,35,3,17.0,13,13,0
358,35,4,61.0,5,5,2
359,35,5,53.0,7,7,1
360,35,6,9.0,15,15,0
361,35,7,4.0,17,17,0
362,35,8,75.0,3,3,2
363,35,9,75.0,4,4,1
364,35,15,31.0,9,9,0
365,35,17,21.0,11,11,0
366,35,14,8.0,16,16,0
367,35,18,3.0,18,18,0
368,35,12,19.0,12,12,0
369,35,21,0.0,19,19,0
370,35,22,11.0,14,14,0
371,35,19,0.0,22,22,0
372,35,11,0.0,21,21,0
373,35,13,97.0,2,2,6
374,35,10,25.0,10,10,0
375,35,16,0.0,20,20,0
376,35,20,35.0,8,8,1
13629,36,16,0.0,17,17,0
13628,36,19,0.0,16,16,0
13627,36,18,0.0,15,15,0
13626,36,24,0.0,14,14,0
13625,36,17,0.0,13,13,0
13624,36,11,0.0,12,12,0
13623,36,22,0.0,11,11,0
13622,36,5,0.0,10,10,0
13621,36,15,0.0,9,9,0
13620,36,23,1.0,8,8,0
13619,36,3,2.0,7,7,0
13618,36,13,3.0,6,6,0
13617,36,21,4.0,5,5,0
13649,37,9,0.0,20,20,0
13648,37,26,0.0,17,17,0
13647,37,25,0.0,11,11,0
13646,37,16,0.0,19,19,0
13645,37,19,0.0,18,18,0
13644,37,18,0.0,15,15,0
13643,37,24,0.0,16,16,0
13642,37,17,0.0,12,12,0
13641,37,11,0.0,14,14,0
13640,37,22,0.0,13,13,0
13639,37,5,1.0,9,9,0
13638,37,15,2.0,7,7,0
13637,37,23,1.0,10,10,0
13635,37,13,7.0,6,6,0
13670,38,27,0.0,18,18,0
13669,38,9,3.0,8,8,0
13668,38,26,0.0,19,19,0
13667,38,25,0.0,12,12,0
13666,38,16,0.0,20,20,0
13665,38,19,0.0,21,21,0
13664,38,18,0.0,16,16,0
13663,38,24,0.0,17,17,0
13662,38,17,0.0,13,13,0
13661,38,11,0.0,15,15,0
13660,38,22,0.0,14,14,0
13659,38,5,1.0,10,10,0
13658,38,15,4.0,7,7,0
13657,38,23,1.0,11,11,0
13656,38,3,2.0,9,9,0
13655,38,13,17.0,4,4,1
13654,38,21,8.0,6,6,0
13653,38,2,15.0,5,5,0
13652,38,1,22.0,3,3,0
13651,38,4,22.0,1,1,1
13650,38,8,22.0,2,2,1
13692,39,14,4.0,9,9,0
13691,39,27,0.0,20,20,0
13690,39,9,8.0,6,6,0
13689,39,26,0.0,22,22,0
13688,39,25,0.0,14,14,0
13687,39,16,0.0,19,19,0
13686,39,19,0.0,17,17,0
13685,39,18,0.0,18,18,0
13684,39,24,0.0,21,21,0
13683,39,17,0.0,16,16,0
13682,39,11,1.0,12,12,0
13681,39,22,0.0,15,15,0
13680,39,5,3.0,11,11,0
13679,39,15,4.0,10,10,0
13678,39,23,1.0,13,13,0
13677,39,3,5.0,8,8,0
13675,39,21,8.0,7,7,0
13714,40,14,4.0,9,9,0
13713,40,27,0.0,21,21,0
13712,40,9,12.0,7,7,0
13711,40,26,0.0,15,15,0
13710,40,25,2.0,12,12,0
13709,40,16,0.0,20,20,0
13708,40,19,0.0,19,19,0
13707,40,18,0.0,18,18,0
13706,40,24,0.0,22,22,0
13705,40,17,0.0,17,17,0
13704,40,11,1.0,13,13,0
13703,40,22,0.0,16,16,0
13702,40,5,3.0,11,11,0
13701,40,15,4.0,10,10,0
13700,40,23,1.0,14,14,0
13699,40,3,5.0,8,8,0
13697,40,21,13.0,6,6,0
13736,41,14,4.0,11,11,0
13735,41,27,0.0,21,21,0
13734,41,9,12.0,7,7,0
13733,41,26,0.0,16,16,0
13732,41,25,8.0,8,8,0
13731,41,16,0.0,20,20,0
13730,41,19,0.0,18,18,0
13729,41,18,0.0,19,19,0
13728,41,24,0.0,22,22,0
13726,41,11,4.0,12,12,0
13724,41,5,8.0,9,9,0
13722,41,23,2.0,14,14,0
13721,41,3,5.0,10,10,0
13720,41,13,33.0,3,3,2
13718,41,2,26.0,5,5,0
13716,41,4,40.0,2,2,2
13759,42,20,1.0,16,16,0
13758,42,14,4.0,12,12,0
13757,42,27,0.0,22,22,0
13756,42,9,12.0,7,7,0
13755,42,26,0.0,17,17,0
13754,42,25,8.0,9,9,0
13753,42,16,0.0,21,21,0
13752,42,19,0.0,19,19,0
13751,42,18,0.0,20,20,0
13750,42,24,0.0,23,23,0
13748,42,11,4.0,13,13,0
13746,42,5,12.0,8,8,0
13744,42,23,2.0,15,15,0
13743,42,3,5.0,11,11,0
13742,42,13,39.0,3,3,2
13740,42,2,26.0,5,5,0
13738,42,4,48.0,2,2,2
13782,43,20,1.0,17,17,0
13781,43,14,4.0,12,12,0
13780,43,27,0.0,22,22,0
13779,43,9,17.0,6,6,0
13778,43,26,0.0,18,18,0
13777,43,25,8.0,9,9,0
13776,43,16,0.0,21,21,0
13775,43,19,0.0,20,20,0
13774,43,18,1.0,16,16,0
13773,43,24,0.0,23,23,0
13772,43,17,2.0,14,14,0
13771,43,11,4.0,13,13,0
13769,43,5,12.0,8,8,0
13767,43,23,2.0,15,15,0
13766,43,3,5.0,11,11,0
13765,43,13,47.0,3,3,2
13763,43,2,30.0,5,5,0
13761,43,4,50.0,2,2,2
13805,44,20,1.0,17,17,0
13804,44,14,4.0,12,12,0
13803,44,27,0.0,22,22,0
13802,44,9,22.0,6,6,0
13801,44,26,0.0,19,19,0
13800,44,25,8.0,9,9,0
13799,44,16,0.0,21,21,0
13798,44,19,0.0,20,20,0
13797,44,18,1.0,16,16,0
13796,44,24,0.0,23,23,0
13795,44,17,2.0,14,14,0
13794,44,11,4.0,13,13,0
13792,44,5,14.0,8,8,0
13790,44,23,2.0,15,15,0
13789,44,3,5.0,11,11,0
13787,44,21,17.0,7,7,0
13784,44,4,58.0,2,2,2
13828,45,20,1.0,17,17,0
13827,45,14,8.0,11,11,0
13826,45,27,0.0,22,22,0
13825,45,9,24.0,6,6,0
13824,45,26,0.0,19,19,0
13823,45,25,13.0,9,9,0
13822,45,16,0.0,21,21,0
13821,45,19,0.0,20,20,0
13820,45,18,1.0,16,16,0
13819,45,24,0.0,23,23,0
13818,45,17,8.0,10,10,0
13817,45,11,4.0,14,14,0
13816,45,22,0.0,18,18,0
13815,45,5,15.0,8,8,0
13814,45,15,7.0,12,12,0
13813,45,23,2.0,15,15,0
13811,45,13,59.0,3,3,2
13809,45,2,36.0,5,5,0
13832,46,2,42.0,5,5,0
13851,46,20,1.0,17,17,0
13850,46,14,8.0,11,11,0
13849,46,27,0.0,22,22,0
13848,46,9,28.0,6,6,0
13847,46,26,0.0,19,19,0
13846,46,25,13.0,9,9,0
13845,46,16,0.0,21,21,0
13844,46,19,0.0,20,20,0
13843,46,18,1.0,16,16,0
13842,46,24,0.0,23,23,0
13841,46,17,8.0,10,10,0
13840,46,11,4.0,15,15,0
13838,46,5,16.0,8,8,0
13837,46,15,7.0,13,13,0
13836,46,23,5.0,14,14,0
13835,46,3,7.0,12,12,0
13833,46,21,17.0,7,7,0
13830,46,4,73.0,2,2,3
13856,47,21,17.0,8,8,0
13875,47,29,0.0,24,24,0
13874,47,20,1.0,17,17,0
13873,47,14,8.0,12,12,0
13872,47,27,0.0,22,22,0
13871,47,9,29.0,6,6,0
13870,47,26,0.0,19,19,0
13869,47,25,13.0,9,9,0
13868,47,16,0.0,21,21,0
13867,47,19,0.0,20,20,0
13866,47,18,1.0,16,16,0
13865,47,24,0.0,23,23,0
13864,47,17,8.0,11,11,0
13863,47,11,4.0,15,15,0
13862,47,22,0.0,18,18,0
13861,47,5,19.0,7,7,0
13858,47,3,9.0,10,10,0
13857,47,13,69.0,3,3,3
13855,47,2,47.0,5,5,0
13853,47,4,79.0,2,2,3
13879,48,2,52.0,5,5,0
13899,48,29,0.0,24,24,0
13898,48,20,1.0,17,17,0
13897,48,14,8.0,12,12,0
13896,48,27,0.0,22,22,0
13895,48,9,33.0,6,6,0
13894,48,26,0.0,19,19,0
13893,48,25,13.0,9,9,0
13892,48,16,0.0,21,21,0
13891,48,19,0.0,20,20,0
13890,48,18,2.0,16,16,0
13889,48,24,0.0,23,23,0
13888,48,17,8.0,11,11,0
13887,48,11,4.0,15,15,0
13886,48,22,0.0,18,18,0
13885,48,5,21.0,7,7,0
13884,48,15,7.0,13,13,0
13881,48,13,69.0,4,4,3
13880,48,21,17.0,8,8,0
13877,48,4,89.0,2,2,4
13903,49,2,56.0,5,5,0
13923,49,29,0.0,24,24,0
13922,49,20,1.0,17,17,0
13921,49,14,8.0,12,12,0
13920,49,27,0.0,23,23,0
13919,49,9,33.0,6,6,0
13918,49,26,0.0,19,19,0
13917,49,25,13.0,10,10,0
13916,49,16,0.0,22,22,0
13915,49,19,0.0,20,20,0
13914,49,18,2.0,16,16,0
13913,49,24,0.0,21,21,0
13912,49,17,10.0,11,11,0
13911,49,11,4.0,15,15,0
13910,49,22,0.0,18,18,0
13909,49,5,22.0,7,7,0
13908,49,15,7.0,13,13,0
13905,49,13,77.0,4,4,3
13904,49,21,17.0,8,8,0
13901,49,4,95.0,2,2,4
13927,50,2,56.0,5,5,0
13947,50,29,0.0,23,23,0
13946,50,20,1.0,18,18,0
13945,50,14,13.0,11,11,0
13944,50,27,0.0,24,24,0
13943,50,9,35.0,6,6,0
13942,50,26,0.0,21,21,0
13941,50,25,13.0,10,10,0
13940,50,16,1.0,17,17,0
13939,50,19,0.0,22,22,0
13938,50,18,2.0,16,16,0
13937,50,24,0.0,20,20,0
13936,50,17,10.0,12,12,0
13935,50,11,4.0,15,15,0
13934,50,22,0.0,19,19,0
13933,50,5,30.0,7,7,0
13932,50,15,7.0,13,13,0
13929,50,13,80.0,4,4,3
13928,50,21,21.0,8,8,0
13925,50,4,95.0,2,2,4
13951,51,2,58.0,5,5,0
13971,51,29,0.0,23,23,0
13970,51,20,6.0,14,14,0
13969,51,14,14.0,10,10,0
13968,51,27,0.0,24,24,0
13967,51,9,35.0,6,6,0
13966,51,26,0.0,21,21,0
13965,51,25,13.0,11,11,0
13964,51,16,1.0,19,19,0
13963,51,19,0.0,22,22,0
13962,51,18,6.0,15,15,0
13961,51,24,3.0,18,18,0
13960,51,17,10.0,12,12,0
13959,51,11,4.0,17,17,0
13958,51,22,0.0,20,20,0
13957,51,5,30.0,7,7,0
13956,51,15,7.0,13,13,0
13955,51,23,5.0,16,16,0
13953,51,13,86.0,4,4,3
13952,51,21,21.0,8,8,0
13949,51,4,103.0,2,2,4
13972,52,8,110.0,1,1,6
13996,52,6,0.0,22,22,0
13995,52,29,0.0,24,24,0
13994,52,20,6.0,14,14,0
13993,52,14,14.0,10,10,0
13992,52,27,0.0,25,25,0
13991,52,9,39.0,6,6,0
13990,52,26,0.0,21,21,0
13989,52,25,13.0,11,11,0
13988,52,16,1.0,19,19,0
13987,52,19,0.0,23,23,0
13986,52,18,6.0,15,15,0
13985,52,24,3.0,18,18,0
13984,52,17,10.0,12,12,0
13983,52,11,4.0,17,17,0
13982,52,22,0.0,20,20,0
13981,52,5,30.0,7,7,0
13980,52,15,8.0,13,13,0
13979,52,23,5.0,16,16,0
13978,52,3,20.0,9,9,0
13977,52,13,94.0,4,4,3
13975,52,2,61.0,5,5,0
13973,52,4,109.0,3,3,4
12824,53,11,0.0,18,18,0
12823,53,33,0.0,17,17,0
12822,53,15,0.0,16,16,0
12821,53,22,0.0,15,15,0
12820,53,23,0.0,14,14,0
12819,53,26,0.0,13,13,0
12818,53,2,0.0,12,12,0
12817,53,24,0.0,11,11,0
12816,53,14,0.0,10,10,0
12815,53,13,0.0,9,9,0
12814,53,32,1.0,8,8,0
12813,53,3,2.0,7,7,0
12812,53,17,3.0,6,6,0
12811,53,31,4.0,5,5,0
12810,53,18,5.0,4,4,0
12809,53,8,6.0,3,3,0
12808,53,30,8.0,2,2,0
12807,53,4,10.0,1,1,1
12845,54,27,0.0,17,17,0
12844,54,35,2.0,10,10,0
12843,54,21,10.0,4,4,1
12842,54,11,0.0,21,21,0
12841,54,33,0.0,19,19,0
12840,54,15,0.0,13,13,0
12839,54,22,0.0,14,14,0
12838,54,23,1.0,11,11,0
12837,54,26,0.0,20,20,0
12836,54,2,0.0,18,18,0
12835,54,24,0.0,16,16,0
12834,54,14,0.0,15,15,0
12833,54,13,4.0,7,7,0
12832,54,32,1.0,12,12,0
12831,54,3,2.0,9,9,0
12830,54,17,3.0,8,8,0
12829,54,31,9.0,5,5,0
12828,54,18,11.0,3,3,0
12827,54,8,6.0,6,6,0
12826,54,30,11.0,2,2,0
12825,54,4,18.0,1,1,1
12867,55,34,0.0,22,22,0
12866,55,27,0.0,19,19,0
12865,55,35,5.0,9,9,0
12864,55,21,14.0,2,2,1
12863,55,11,0.0,20,20,0
12862,55,33,0.0,21,21,0
12861,55,15,0.0,17,17,0
12860,55,22,2.0,12,12,0
12859,55,23,7.0,7,7,0
12858,55,26,0.0,16,16,0
12857,55,2,5.0,8,8,0
12856,55,24,0.0,18,18,0
12855,55,14,1.0,14,14,0
12854,55,13,4.0,10,10,0
12853,55,32,1.0,15,15,0
12852,55,3,2.0,13,13,0
12851,55,17,3.0,11,11,0
12850,55,31,9.0,6,6,0
12849,55,18,11.0,5,5,0
12848,55,8,14.0,3,3,0
12847,55,30,11.0,4,4,0
12846,55,4,28.0,1,1,2
12889,56,34,0.0,22,22,0
12888,56,27,0.0,19,19,0
12887,56,35,5.0,11,11,0
12886,56,21,15.0,4,4,1
12885,56,11,0.0,20,20,0
12884,56,33,0.0,21,21,0
12883,56,15,0.0,17,17,0
12882,56,22,2.0,12,12,0
12881,56,23,7.0,8,8,0
12880,56,26,0.0,16,16,0
12879,56,2,5.0,10,10,0
12878,56,24,0.0,18,18,0
12877,56,14,1.0,14,14,0
12876,56,13,9.0,7,7,0
12875,56,32,1.0,15,15,0
12874,56,3,2.0,13,13,0
12873,56,17,6.0,9,9,0
12872,56,31,15.0,5,5,0
12871,56,18,13.0,6,6,0
12870,56,8,18.0,3,3,0
12869,56,30,21.0,2,2,1
12868,56,4,36.0,1,1,2
12911,57,34,0.0,22,22,0
12910,57,27,0.0,19,19,0
12909,57,35,6.0,11,11,0
12908,57,21,18.0,4,4,1
12907,57,11,0.0,21,21,0
12906,57,33,0.0,20,20,0
12905,57,15,0.0,16,16,0
12904,57,22,6.0,9,9,0
12903,57,23,7.0,8,8,0
12902,57,26,0.0,17,17,0
12901,57,2,5.0,12,12,0
12900,57,24,0.0,18,18,0
12899,57,14,1.0,14,14,0
12898,57,13,15.0,5,5,0
12897,57,32,1.0,15,15,0
12896,57,3,4.0,13,13,0
12895,57,17,6.0,10,10,0
12894,57,31,15.0,6,6,0
12893,57,18,13.0,7,7,0
12892,57,8,23.0,3,3,0
12891,57,30,31.0,2,2,2
12890,57,4,44.0,1,1,2
12933,58,34,0.0,22,22,0
12932,58,27,0.0,19,19,0
12931,58,35,6.0,12,12,0
12930,58,21,24.0,4,4,1
12929,58,11,0.0,21,21,0
12928,58,33,0.0,20,20,0
12927,58,15,0.0,16,16,0
12926,58,22,8.0,8,8,0
12925,58,23,7.0,9,9,0
12924,58,26,0.0,17,17,0
12923,58,2,6.0,10,10,0
12922,58,24,0.0,18,18,0
12921,58,14,1.0,14,14,0
12920,58,13,20.0,5,5,0
12919,58,32,1.0,15,15,0
12918,58,3,4.0,13,13,0
12917,58,17,6.0,11,11,0
12916,58,31,15.0,7,7,0
12915,58,18,16.0,6,6,0
12914,58,8,27.0,3,3,0
12913,58,30,39.0,2,2,2
12912,58,4,54.0,1,1,3
12956,59,36,0.0,23,23,0
12955,59,34,0.0,22,22,0
12954,59,27,0.0,19,19,0
12953,59,35,6.0,13,13,0
12952,59,21,27.0,3,3,1
12951,59,11,0.0,21,21,0
12950,59,33,0.0,20,20,0
12949,59,15,0.0,16,16,0
12948,59,22,13.0,8,8,0
12947,59,23,8.0,9,9,0
12946,59,26,0.0,17,17,0
12945,59,2,8.0,10,10,0
12944,59,24,0.0,18,18,0
12943,59,14,7.0,11,11,0
12942,59,13,20.0,6,6,0
12941,59,32,1.0,15,15,0
12940,59,3,4.0,14,14,0
12939,59,17,6.0,12,12,0
12938,59,31,23.0,5,5,0
12937,59,18,16.0,7,7,0
12936,59,8,27.0,4,4,0
12935,59,30,43.0,2,2,2
12934,59,4,64.0,1,1,4
12979,60,36,0.0,23,23,0
12978,60,34,0.0,22,22,0
12977,60,27,0.0,19,19,0
12976,60,35,7.0,12,12,0
